  0.19650000E+01 -0.13802965E+01  0.10460978E+02
  0.19700000E+01 -0.14197261E+01  0.10527413E+02
  0.19750000E+01 -0.14614032E+01  0.10593918E+02
  0.19800000E+01 -0.15064227E+01  0.10659986E+02
  0.19850000E+01 -0.15528795E+01  0.10724788E+02
  0.19900000E+01 -0.16039078E+01  0.10787696E+02
  0.19950000E+01 -0.16435275E+01  0.10852008E+02
  0.20000000E+01 -0.16708463E+01  0.10923665E+02
  0.20050000E+01 -0.17088481E+01  0.10994838E+02
  0.20100000E+01 -0.17506104E+01  0.11065986E+02
  0.20150000E+01 -0.17955334E+01  0.11137151E+02
  0.20200000E+01 -0.18449932E+01  0.11208075E+02
  0.20250000E+01 -0.18994523E+01  0.11278340E+02
  0.20300000E+01 -0.19589833E+01  0.11347548E+02
  0.20350000E+01 -0.20225743E+01  0.11415458E+02
  0.20400000E+01 -0.20887565E+01  0.11482050E+02
  0.20450000E+01 -0.21561254E+01  0.11547503E+02
  0.20500000E+01 -0.22239815E+01  0.11612079E+02
  0.20550000E+01 -0.22924771E+01  0.11675960E+02
  0.20600000E+01 -0.23624530E+01  0.11739098E+02
  0.20650000E+01 -0.24349534E+01  0.11801183E+02
  0.20700000E+01 -0.25107502E+01  0.11861764E+02
  0.20750000E+01 -0.25900557E+01  0.11920493E+02
  0.20800000E+01 -0.26725251E+01  0.11977301E+02
  0.20850000E+01 -0.27574944E+01  0.12032386E+02
  0.20900000E+01 -0.28443130E+01  0.12086013E+02
  0.20950000E+01 -0.29326156E+01  0.12138268E+02
  0.21000000E+01 -0.30224266E+01  0.12188945E+02
  0.21050000E+01 -0.31140714E+01  0.12237666E+02
  0.21100000E+01 -0.32079505E+01  0.12284108E+02
  0.21150000E+01 -0.33042931E+01  0.12328150E+02
  0.21200000E+01 -0.34030053E+01  0.12369845E+02
  0.21250000E+01 -0.35036448E+01  0.12409257E+02
  0.21300000E+01 -0.36058484E+01  0.12446316E+02
  0.21350000E+01 -0.37101186E+01  0.12480881E+02
  0.21400000E+01 -0.38134040E+01  0.12513185E+02
  0.21450000E+01 -0.39197642E+01  0.12542724E+02
  0.21500000E+01 -0.40286191E+01  0.12569409E+02
  0.21550000E+01 -0.41399418E+01  0.12593164E+02
  0.21600000E+01 -0.42534152E+01  0.12613805E+02
  0.21650000E+01 -0.43686015E+01  0.12631083E+02
  0.21700000E+01 -0.44850301E+01  0.12644800E+02
  0.21750000E+01 -0.46024316E+01  0.12654888E+02
  0.21800000E+01 -0.47207553E+01  0.12661358E+02
  0.21850000E+01 -0.48401653E+01  0.12664198E+02
  0.21900000E+01 -0.49609092E+01  0.12663314E+02
  0.21950000E+01 -0.50831568E+01  0.12658519E+02
  0.22000000E+01 -0.52068409E+01  0.12649579E+02
  0.22050000E+01 -0.53315926E+01  0.12636253E+02
  0.22100000E+01 -0.54568773E+01  0.12618358E+02
  0.22150000E+01 -0.55822698E+01  0.12595847E+02
  0.22200000E+01 -0.57076694E+01  0.12568804E+02
  0.22250000E+01 -0.58332608E+01  0.12537291E+02
  0.22300000E+01 -0.59592326E+01  0.12501149E+02
  0.22350000E+01 -0.60855149E+01  0.12460033E+02
  0.22400000E+01 -0.62118018E+01  0.12413667E+02
  0.22450000E+01 -0.63378105E+01  0.12362029E+02
  0.22500000E+01 -0.64634184E+01  0.12305162E+02
  0.22550000E+01 -0.65884325E+01  0.12242923E+02
  0.22600000E+01 -0.67123049E+01  0.12175068E+02
  0.22650000E+01 -0.68344126E+01  0.12101518E+02
  0.22700000E+01 -0.69548262E+01  0.12022258E+02
  0.22750000E+01 -0.70744617E+01  0.11937048E+02
  0.22800000E+01 -0.71939768E+01  0.11845524E+02
  0.22850000E+01 -0.73127755E+01  0.11747422E+02
  0.22900000E+01 -0.74298611E+01  0.11642447E+02
  0.22950000E+01 -0.75453985E+01  0.11530181E+02
  0.23000000E+01 -0.76601555E+01  0.11410217E+02
  0.23050000E+01 -0.77735747E+01  0.11282030E+02
  0.23100000E+01 -0.78842463E+01  0.11145007E+02
  0.23150000E+01 -0.79921676E+01  0.10998516E+02
  0.23200000E+01 -0.80983399E+01  0.10841509E+02
  0.23250000E+01 -0.82023279E+01  0.10673013E+02
  0.23300000E+01 -0.83023609E+01  0.10492061E+02
  0.23350000E+01 -0.83973578E+01  0.10297075E+02
  0.23400000E+01 -0.84864857E+01  0.10087007E+02
  0.23450000E+01 -0.85677671E+01  0.98604603E+01
  0.23500000E+01 -0.86379022E+01  0.96159254E+01
  0.23550000E+01 -0.86921839E+01  0.93522624E+01
  0.23600000E+01 -0.87221957E+01  0.90679325E+01
  0.23650000E+01 -0.87447696E+01  0.87584046E+01
  0.23700000E+01 -0.87202401E+01  0.84268801E+01
  0.23750000E+01 -0.86434538E+01  0.80747637E+01
  0.23800000E+01 -0.85017216E+01  0.77045297E+01
  0.23850000E+01 -0.82749151E+01  0.73211363E+01
  0.23900000E+01 -0.79318589E+01  0.69337908E+01
  0.23950000E+01 -0.74232080E+01  0.65584296E+01
  0.24000000E+01 -0.66488161E+01  0.62240937E+01
  0.24050000E+01 -0.54435892E+01  0.59882182E+01
  0.24100000E+01 -0.37633830E+01  0.59850912E+01
  0.24150000E+01 -0.11694332E+01  0.66537156E+01
  0.24200000E+01  0.56457190E+01  0.10323388E+02
  0.24250000E+01  0.54002215E+01  0.14765122E+02
  0.24300000E+01 -0.13573178E+02  0.12056285E+02
  0.24350000E+01 -0.54927608E+01  0.82549221E+01
